"Name"	"Product"	"Parent_class"	"Pathways of gene"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
"prfB"	"probable peptide chain release factor 2"	"UNCLASSIFIED"	""	"growth" // "translational termination" // "translation"	"cytosol" // "cytoplasm" // "cell wall"	"translation release factor activity, codon specific" // "translation release factor activity"
"priA"	"putative primosomal protein N'"	"UNCLASSIFIED"	""	"DNA duplex unwinding" // "DNA recombination" // "double-strand break repair" // "DNA replication initiation" // "DNA replication, synthesis of RNA primer" // "DNA unwinding involved in DNA replication" // "DNA replication" // "growth" // "aromatic amino acid family biosynthetic process" // "cellular amino acid biosynthetic process" // "metabolic process" // "tryptophan biosynthetic process" // "histidine biosynthetic process"	"primosome complex" // "cytosol" // "cytoplasm"	"DNA helicase activity" // "metal ion binding" // "3'-5' DNA helicase activity" // "hydrolase activity" // "zinc ion binding" // "ATP binding" // "helicase activity" // "DNA binding" // "nucleotide binding" // "isomerase activity" // "phosphoribosylanthranilate isomerase activity" // "1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity" // "catalytic activity"
"Primary Active Transporters"	""	"transport"	""	""	""	""
"proA"	"probable gamma-glutamyl phosphate reductase protein"	"UNCLASSIFIED"	"L-proline biosynthesis I" // "L-proline biosynthesis III"	"L-proline biosynthetic process" // "oxidation-reduction process" // "cellular amino acid biosynthetic process" // "metabolic process" // "proline biosynthetic process"	"plasma membrane" // "cytosol" // "cytoplasm"	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor" // "NADP binding" // "oxidoreductase activity" // "glutamate-5-semialdehyde dehydrogenase activity"
"proB"	"probable glutamate 5-kinase protein"	"UNCLASSIFIED"	"L-proline biosynthesis I" // "L-proline biosynthesis III"	"L-proline biosynthetic process" // "growth" // "phosphorylation" // "cellular amino acid biosynthetic process" // "proline biosynthetic process"	"cytosol" // "cytoplasm"	"transferase activity" // "kinase activity" // "ATP binding" // "glutamate 5-kinase activity" // "RNA binding" // "nucleotide binding"
"proC"	"probable pyrroline-5-carboxylate reductase"	"UNCLASSIFIED"	"L-proline biosynthesis I" // "L-proline biosynthesis III"	"L-proline biosynthetic process" // "oxidation-reduction process" // "growth" // "cellular amino acid biosynthetic process" // "proline biosynthetic process"	"cytosol" // "plasma membrane" // "cytoplasm"	"manganese ion binding" // "oxidoreductase activity" // "pyrroline-5-carboxylate reductase activity" // "magnesium ion binding"
"proline"	""	"amino acids"	""	""	""	""
"prophage genes and phage related functions"	""	"extrachromosomal"	""	""	""	""
"proS"	"probable prolyl-tRNA synthetase"	"UNCLASSIFIED"	"tRNA charging"	"aminoacyl-tRNA metabolism involved in translational fidelity" // "growth" // "prolyl-tRNA aminoacylation" // "tRNA aminoacylation for protein translation" // "translation"	"cytosol" // "plasma membrane" // "cytoplasm" // "cell wall"	"ligase activity" // "ATP binding" // "proline-tRNA ligase activity" // "aminoacyl-tRNA ligase activity" // "aminoacyl-tRNA editing activity" // "nucleotide binding"
"proT"	"tRNA-Pro"	"tRNA"	"tRNA processing" // "tRNA charging"	""	""	""
"proteases, cleavage of compounds"	""	"posttranscriptional"	""	""	""	""
"protection"	""	"cell processes"	""	""	""	""
"protein related"	""	"information transfer"	""	""	""	""
"proteins/peptides/glycopeptides"	""	"degradation of macromolecules"	""	""	""	""
"proU"	"tRNA-Pro"	"tRNA"	"tRNA processing" // "tRNA charging"	""	""	""
"proV"	"possible osmoprotectant (glycine betaine/carnitine/choline/L-proline) transport ATP-binding protein ABC transporter"	"transport" // "UNCLASSIFIED"	""	"response to host" // "glycine betaine transport"	"plasma membrane"	"ATPase activity" // "ATP binding" // "nucleotide binding"
"proW"	"possible osmoprotectant (glycine betaine/carnitine/choline/L-proline) transport integral membrane protein ABC transporter"	"transport" // "UNCLASSIFIED"	""	"transmembrane transport" // "response to host" // "glycine betaine transport"	"integral component of membrane" // "membrane" // "plasma membrane"	"transporter activity"
"proX"	"possible osmoprotectant (glycine betaine/carnitine/choline/L-proline) binding lipoprotein"	"UNCLASSIFIED"	""	"transmembrane transport" // "response to host" // "glycine betaine transport"	"ATP-binding cassette (ABC) transporter complex" // "plasma membrane" // "extracellular region"	"transmembrane transporter activity" // "transporter activity"
"proY"	"tRNA-Pro"	"tRNA"	"tRNA processing" // "tRNA charging"	""	""	""
"proZ"	"possible osmoprotectant (glycine betaine/carnitine/choline/L-proline) transport integral membrane protein ABC transporter"	"transport" // "UNCLASSIFIED"	""	"transmembrane transport" // "response to host" // "glycine betaine transport"	"integral component of membrane" // "membrane" // "plasma membrane"	"transporter activity"
"prpC"	"probable methylcitrate synthase"	"UNCLASSIFIED"	"2-methylcitrate cycle I"	"carbohydrate metabolic process" // "propionate metabolic process, methylcitrate cycle" // "tricarboxylic acid cycle"	"cytosol" // "cytoplasm"	"citrate (Si)-synthase activity" // "2-methylcitrate synthase activity" // "transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer" // "citrate synthase activity" // "transferase activity"
"prpD"	"possible methylcitrate dehydratase"	"UNCLASSIFIED"	"2-methylcitrate cycle I"	"response to acidic pH" // "propionate metabolic process, methylcitrate cycle" // "propionate catabolic process, 2-methylcitrate cycle" // "cholesterol metabolic process" // "steroid metabolic process" // "lipid metabolic process" // "tricarboxylic acid cycle" // "response to acid chemical"	"cytosol" // "cell wall"	"citrate dehydratase activity" // "2-methylcitrate dehydratase activity" // "lyase activity" // "aconitate hydratase activity"
"prrA"	"two component response transcriptional regulatory protein"	"UNCLASSIFIED"	""	"positive regulation of transcription, DNA-templated" // "growth involved in symbiotic interaction" // "regulation of transcription, DNA-templated" // "transcription, DNA-templated" // "phosphorelay signal transduction system"	"protein-DNA complex" // "plasma membrane" // "cytosol" // "cytoplasm"	"DNA-binding transcription activator activity" // "transcription regulatory region sequence-specific DNA binding" // "DNA-binding transcription factor activity" // "phosphorelay response regulator activity" // "calcium ion binding" // "DNA binding" // "magnesium ion binding"
"prrB"	"two component sensor histidine kinase"	"UNCLASSIFIED"	""	"protein autophosphorylation" // "growth involved in symbiotic interaction" // "signal transduction by protein phosphorylation" // "peptidyl-histidine phosphorylation" // "phosphorylation" // "signal transduction" // "phosphorelay signal transduction system"	"integral component of membrane" // "membrane" // "integral component of plasma membrane" // "plasma membrane" // "intracellular" // "cell wall"	"identical protein binding" // "transferase activity, transferring phosphorus-containing groups" // "transferase activity" // "kinase activity" // "ATP binding" // "protein binding" // "protein histidine kinase activity" // "protein kinase activity" // "nucleotide binding" // "phosphorelay sensor kinase activity"
"prsA"	"probable ribose-phosphate pyrophosphokinase"	"UNCLASSIFIED"	"PRPP biosynthesis"	"purine nucleotide biosynthetic process" // "cell wall organization" // "capsule polysaccharide biosynthetic process" // "metabolic process" // "nucleoside metabolic process" // "cellular biosynthetic process" // "growth" // "phosphorylation" // "nucleotide biosynthetic process" // "ribonucleoside monophosphate biosynthetic process" // "5-phosphoribose 1-diphosphate biosynthetic process"	"ribose phosphate diphosphokinase complex" // "cytosol" // "plasma membrane" // "cytoplasm" // "cell wall"	"catalytic activity" // "metal ion binding" // "manganese ion binding" // "transferase activity" // "kinase activity" // "ATP binding" // "ribose phosphate diphosphokinase activity" // "magnesium ion binding" // "nucleotide binding"
"psd"	"possible phosphatidylserine decarboxylase"	"UNCLASSIFIED"	"phosphatidylethanolamine biosynthesis I"	"phospholipid biosynthetic process" // "phosphatidylethanolamine biosynthetic process" // "lipid metabolic process"	"membrane" // "cytosol" // "plasma membrane"	"carboxy-lyase activity" // "lyase activity" // "phosphatidylserine decarboxylase activity"
"pssA"	"probable CDP-diacylglycerol--serine O-phosphatidyltransferase"	"UNCLASSIFIED"	"phosphatidylethanolamine biosynthesis I"	"glycerophospholipid biosynthetic process" // "phospholipid biosynthetic process" // "lipid metabolic process"	"cytoplasm" // "integral component of membrane" // "membrane" // "plasma membrane" // "extracellular region"	"phosphotransferase activity, for other substituted phosphate groups" // "transferase activity" // "CDP-diacylglycerol-serine O-phosphatidyltransferase activity"
"pstA1"	"probable phosphate-transport integral membrane ABC transporter"	"transport" // "UNCLASSIFIED"	""	"transmembrane transport" // "growth of symbiont in host" // "phosphate ion transmembrane transport" // "phosphate ion transport"	"integral component of membrane" // "membrane" // "integral component of plasma membrane" // "plasma membrane"	"inorganic phosphate transmembrane transporter activity"
"pstA2"	"phosphate-transport integral membrane ABC transporter"	"transport" // "UNCLASSIFIED"	""	"transmembrane transport" // "phosphate ion transmembrane transport" // "phosphate ion transport"	"integral component of membrane" // "membrane" // "integral component of plasma membrane" // "plasma membrane"	"inorganic phosphate transmembrane transporter activity"
"pstB"	"phosphate-transport ATP-binding protein ABC transporter"	"transport" // "UNCLASSIFIED"	""	"anion transmembrane transport" // "phosphate ion transmembrane transport" // "phosphate ion transport"	"membrane" // "plasma membrane"	"ATPase activity" // "hydrolase activity" // "ATPase-coupled phosphate ion transmembrane transporter activity" // "ATP binding" // "inorganic phosphate transmembrane transporter activity" // "nucleotide binding"
"pstC1"	"phosphate-transport integral membrane ABC transporter"	"transport" // "UNCLASSIFIED"	""	"transmembrane transport" // "phosphate ion transport"	"integral component of membrane" // "membrane" // "plasma membrane"	"inorganic phosphate transmembrane transporter activity"
"pstC2"	"phosphate-transport integral membrane ABC transporter"	"transport" // "UNCLASSIFIED"	""	"transmembrane transport" // "growth of symbiont in host" // "phosphate ion transport"	"integral component of membrane" // "membrane" // "plasma membrane"	"inorganic phosphate transmembrane transporter activity"
"pstP"	"phosphoserine/threonine phosphatase"	"UNCLASSIFIED"	"superpathway of sulfate assimilation and cysteine biosynthesis" // "superpathway of L-serine and glycine biosynthesis I" // "L-serine biosynthesis I"	"negative regulation of DNA binding" // "negative regulation of catalytic activity" // "positive regulation of catalytic activity" // "protein dephosphorylation" // "negative regulation of protein kinase activity"	"cytosol" // "integral component of membrane" // "membrane" // "integral component of plasma membrane" // "plasma membrane" // "cell wall"	"magnesium-dependent protein serine/threonine phosphatase activity" // "metal ion binding" // "manganese ion binding" // "hydrolase activity" // "protein serine/threonine phosphatase activity" // "phosphoprotein phosphatase activity" // "phosphoserine phosphatase activity" // "catalytic activity" // "magnesium ion binding"
"pstS1"	"periplasmic phosphate-binding lipoprotein"	"UNCLASSIFIED"	""	"phosphate ion transmembrane transport" // "cellular response to phosphate starvation" // "pathogenesis" // "cell adhesion" // "phosphate ion transport"	"outer membrane-bounded periplasmic space" // "ATP-binding cassette (ABC) transporter complex" // "membrane" // "cell surface" // "plasma membrane" // "cytosol" // "cell wall" // "extracellular region"	"phosphate ion binding" // "protein binding"
"pstS2"	"periplasmic phosphate-binding lipoprotein"	"UNCLASSIFIED"	""	"phosphate ion transmembrane transport" // "pathogenesis" // "phosphate ion transport"	"ATP-binding cassette (ABC) transporter complex" // "membrane" // "plasma membrane" // "extracellular region"	"phosphate ion binding"
"pstS3"	"periplasmic phosphate-binding lipoprotein"	"UNCLASSIFIED"	""	"negative regulation by symbiont of host innate immune response" // "growth of symbiont in host" // "phosphate ion transmembrane transport" // "cellular response to phosphate starvation" // "phosphate ion transport"	"ATP-binding cassette (ABC) transporter complex" // "membrane" // "plasma membrane" // "cell wall" // "extracellular region"	"phosphate ion binding"
"pta"	"probable phosphate acetyltransferase"	"UNCLASSIFIED"	"pyruvate fermentation to acetate IV" // "superpathway of acetate utilization and formation" // "acetate and ATP formation from acetyl-CoA I" // "mixed acid fermentation" // "pyruvate fermentation to acetate II"	"metabolic process" // "acetyl-CoA biosynthetic process"	"cytosol" // "cytoplasm" // "extracellular region"	"transferase activity, transferring acyl groups" // "transferase activity" // "acetyltransferase activity" // "phosphate acetyltransferase activity"
"ptbB"	"phosphotyrosine protein phosphatase PTPB (protein-tyrosine-phosphatase) (PTPase)"	"UNCLASSIFIED"	""	"peptidyl-tyrosine dephosphorylation" // "dephosphorylation"	"cytoplasm" // "cytosol"	"protein tyrosine phosphatase activity" // "phosphatase activity"
"pth"	"probable peptidyl-tRNA hydrolase"	"UNCLASSIFIED"	""	"translation" // "growth"	"cytosol" // "plasma membrane" // "cytoplasm"	"hydrolase activity" // "aminoacyl-tRNA hydrolase activity"
"ptkA"	"protein tyrosine kinase transcriptional regulatory protein"	"UNCLASSIFIED"	""	"protein autophosphorylation" // "peptidyl-tyrosine phosphorylation"	"cytosol"	"protein binding" // "protein tyrosine kinase activity"
"ptpA"	"phosphotyrosine protein phosphatase"	"UNCLASSIFIED"	""	"negative regulation by symbiont of host cell-mediated immune response" // "peptidyl-tyrosine dephosphorylation" // "pathogenesis" // "protein dephosphorylation"	"cytosol" // "host cell endosome" // "host cell cytoplasm" // "plasma membrane" // "extracellular region"	"hydrolase activity" // "protein binding" // "protein tyrosine phosphatase activity" // "phosphoprotein phosphatase activity"
"ptrBa"	"probable protease II"	"UNCLASSIFIED"	""	"growth" // "proteolysis"	""	"serine-type exopeptidase activity" // "peptidase activity" // "serine-type endopeptidase activity"
"ptrBb"	"probable protease II"	"UNCLASSIFIED"	""	"proteolysis"	""	"serine-type exopeptidase activity" // "serine-type peptidase activity" // "peptidase activity" // "serine-type endopeptidase activity"
"pup"	"prokaryotic ubiquitin-like protein"	|ORFs|	""	"modification-dependent protein catabolic process" // "proteasomal protein catabolic process" // "protein pupylation" // "growth"	""	"proteasome binding" // "protein tag" // "protein binding"
"purA"	"probable adenylosuccinate synthetase"	"UNCLASSIFIED"	"superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I" // "superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II" // "adenosine ribonucleotides <i>de novo</i> biosynthesis"	"IMP metabolic process" // "'de novo' AMP biosynthetic process" // "growth" // "purine nucleotide biosynthetic process"	"cytosol" // "cytoplasm"	"magnesium ion binding" // "metal ion binding" // "ligase activity" // "GTP binding" // "adenylosuccinate synthase activity" // "nucleotide binding"
